,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
1780,can  verify my self cause of camera issue fix it asap,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['can', 'verify', 'my', 'self', 'cause', 'of', 'camera', 'issue', 'fix', 'it', 'asap']","['can', 'verify', 'my', 'self', 'cause', 'of', 'camera', 'issue', 'fix', 'it', 'asap']"
1781,kamera tidak buka ketika akan foto ktp koneksi internet saya baik saja apakah ada cara lain untuk upgrade account,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['kamera', 'buka', 'foto', 'ktp', 'koneksi', 'internet', 'upgrade', 'account']","['kamera', 'buka', 'foto', 'ktp', 'koneksi', 'internet', 'upgrade', 'account']"
1782,apliksi nya sangat gx bgus beli token dari sini gx  saranin transaksi va bank sudah hasil mutasi rekning sudah hasil tlp cs bank jga udah sukses transaksi nya tp token gx dapt dah hri trus  anggap exparid dan msalah terselsaikan aplikasi gx jlas,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['apliksi', 'nya', 'gx', 'bgus', 'beli', 'token', 'gx', 'saranin', 'transaksi', 'va', 'bank', 'hasil', 'mutasi', 'rekning', 'hasil', 'tlp', 'cs', 'bank', 'jga', 'udah', 'sukses', 'transaksi', 'nya', 'tp', 'token', 'gx', 'dapt', 'dah', 'hri', 'trus', 'anggap', 'exparid', 'msalah', 'terselsaikan', 'aplikasi', 'gx', 'jlas']","['apliksi', 'nya', 'gx', 'bgus', 'beli', 'token', 'gx', 'saranin', 'transaksi', 'va', 'bank', 'hasil', 'mutasi', 'rekning', 'hasil', 'tlp', 'cs', 'bank', 'jga', 'udah', 'sukses', 'transaksi', 'nya', 'tp', 'token', 'gx', 'dapt', 'dah', 'hri', 'trus', 'anggap', 'exparid', 'msalah', 'terselsaikan', 'aplikasi', 'gx', 'jlas']"
1783,layan buruk lapor di aplikasi di riwayat aplikasi tera sudah kerja padahal tunggu lama rumah tidak ada tugas yg datang,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['layan', 'buruk', 'lapor', 'aplikasi', 'riwayat', 'aplikasi', 'tera', 'kerja', 'tunggu', 'rumah', 'tugas']","['layan', 'buruk', 'lapor', 'aplikasi', 'riwayat', 'aplikasi', 'tera', 'kerja', 'tunggu', 'rumah', 'tugas']"
1784,payah isi token sini saldo potong nomor token tidak keluar,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['payah', 'isi', 'token', 'saldo', 'potong', 'nomor', 'token']","['payah', 'isi', 'token', 'saldo', 'potong', 'nomor', 'token']"
1785,ga guna layan sampah,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['ga', 'layan', 'sampah']","['ga', 'layan', 'sampah']"
1786,aplikasi bagus tapi utk upgradenya ribet dah photo dg ktp kali mohon upgrade tolak mulu padahal data diri nik segala macem dah sangat jelas dan komplit saya laku upgrade krn utk beli token va bca nya gak ada saya instal aplikasi pln krn utk beli token biar langsung guna aplikasi resmi pln jadi lebih nyaman tapi malah lebih ribet dr pada aplikasi lain yg belum saya guna utk beli token,Registration,Masalah verifikasi,"['aplikasi', 'bagus', 'utk', 'upgradenya', 'ribet', 'dah', 'photo', 'dg', 'ktp', 'kali', 'mohon', 'upgrade', 'tolak', 'mulu', 'data', 'nik', 'macem', 'dah', 'komplit', 'laku', 'upgrade', 'krn', 'utk', 'beli', 'token', 'va', 'bca', 'nya', 'gak', 'instal', 'aplikasi', 'pln', 'krn', 'utk', 'beli', 'token', 'langsung', 'aplikasi', 'resmi', 'pln', 'nyaman', 'ribet', 'dr', 'aplikasi', 'utk', 'beli', 'token']","['aplikasi', 'bagus', 'utk', 'upgradenya', 'ribet', 'dah', 'photo', 'dg', 'ktp', 'kali', 'mohon', 'upgrade', 'tolak', 'mulu', 'data', 'nik', 'macem', 'dah', 'komplit', 'laku', 'upgrade', 'krn', 'utk', 'beli', 'token', 'va', 'bca', 'nya', 'gak', 'instal', 'aplikasi', 'pln', 'krn', 'utk', 'beli', 'token', 'langsung', 'aplikasi', 'resmi', 'pln', 'nyaman', 'ribet', 'dr', 'aplikasi', 'utk', 'beli', 'token']"
1787,aplikasi error saat saya mau upgrade akun ketika mau foto ktp malah tidak bisa buka kamera sama sekali silahlan di baik tambah kalau buka kamera untuk foto profil malah bisa,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['aplikasi', 'error', 'upgrade', 'akun', 'foto', 'ktp', 'buka', 'kamera', 'silahlan', 'buka', 'kamera', 'foto', 'profil']","['aplikasi', 'error', 'upgrade', 'akun', 'foto', 'ktp', 'buka', 'kamera', 'silahlan', 'buka', 'kamera', 'foto', 'profil']"
1788,penuh beritaberita tidak penting,Umum,Lain-lain,"['penuh', 'beritaberita']","['penuh', 'beritaberita']"
1789,udah beli token rb via virtual account bca saldo udah potong tp token ngk keluarakhirnya beli via market place lain lancar aja duit ilang token ngk ada parah indikasi tipu hati hati,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['udah', 'beli', 'token', 'rb', 'via', 'virtual', 'account', 'bca', 'saldo', 'udah', 'potong', 'tp', 'token', 'ngk', 'keluarakhirnya', 'beli', 'via', 'market', 'place', 'lancar', 'duit', 'ilang', 'token', 'ngk', 'parah', 'indikasi', 'tipu', 'hati', 'hati']","['udah', 'beli', 'token', 'rb', 'via', 'virtual', 'account', 'bca', 'saldo', 'udah', 'potong', 'tp', 'token', 'ngk', 'keluarakhirnya', 'beli', 'via', 'market', 'place', 'lancar', 'duit', 'ilang', 'token', 'ngk', 'parah', 'indikasi', 'tipu', 'hati', 'hati']"
1790,busuk,Umum,Lain-lain,['busuk'],['busuk']
1791,kenapa ini apl eror mulu dari tgl januari sudah bayar masih muncul tagih mulu klik eror klik mohon maaf ada salah,Feature Errors,Fungsi fitur gagal,"['apl', 'eror', 'mulu', 'tgl', 'januari', 'bayar', 'muncul', 'tagih', 'mulu', 'klik', 'eror', 'klik', 'mohon', 'maaf', 'salah']","['apl', 'eror', 'mulu', 'tgl', 'januari', 'bayar', 'muncul', 'tagih', 'mulu', 'klik', 'eror', 'klik', 'mohon', 'maaf', 'salah']"
1792,transaksi gagal saldo potong,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['transaksi', 'gagal', 'saldo', 'potong']","['transaksi', 'gagal', 'saldo', 'potong']"
1793,tiap download gak bisa unistal teruspdahal rasa aku hp ku baru,Registration,Sulit mendaftar/tidak bisa mendaftar,"['download', 'gak', 'unistal', 'teruspdahal', 'hp', 'ku']","['download', 'gak', 'unistal', 'teruspdahal', 'hp', 'ku']"
1794,percuma buat aplikasi nyata di sulit buat tambah daya,Feature Design,Fitur PB/PD,"['aplikasi', 'nyata', 'sulit', 'daya']","['aplikasi', 'nyata', 'sulit', 'daya']"
1795,pln memang layan nya sangat buruk aplikasi respon sangat lambat jika jadi masalah gak akan tolong dengan aplikasi buruk ini,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['pln', 'layan', 'nya', 'buruk', 'aplikasi', 'respon', 'lambat', 'gak', 'tolong', 'aplikasi', 'buruk']","['pln', 'layan', 'nya', 'buruk', 'aplikasi', 'respon', 'lambat', 'gak', 'tolong', 'aplikasi', 'buruk']"
1796,,Umum,Lain-lain,[],[]
1797,respon itu ga perlu nunggu menit,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['respon', 'ga', 'nunggu', 'menit']","['respon', 'ga', 'nunggu', 'menit']"
1798,kenapa bayar via bank bca hilang,Feature Errors,Fungsi fitur gagal,"['bayar', 'via', 'bank', 'bca', 'hilang']","['bayar', 'via', 'bank', 'bca', 'hilang']"
1799,tangan yang buruk,ICONNET,Registration ICONNET,"['tangan', 'buruk']","['tangan', 'buruk']"
1800,aplikasi ga guna bulan mau padam listrik berapa kali tiap kali lapor jwb nya ganggu ganggu ganggu palak bapak kau ganggu atau ga juga sering mati,Service O2O,Respon lambat terhadap keluhan pemadaman,"['aplikasi', 'ga', 'padam', 'listrik', 'kali', 'kali', 'lapor', 'jwb', 'nya', 'ganggu', 'ganggu', 'ganggu', 'palak', 'kau', 'ganggu', 'ga', 'mati']","['aplikasi', 'ga', 'padam', 'listrik', 'kali', 'kali', 'lapor', 'jwb', 'nya', 'ganggu', 'ganggu', 'ganggu', 'palak', 'kau', 'ganggu', 'ga', 'mati']"
1801,ok,Umum,Lain-lain,['ok'],['ok']
1802,kamera tidak fungsi saat upgrade akun padahal syarat tambah daya harus pake aplikasi mau ngasih duit malah bikin susah bikin frustasi saja sudah laku semua proses saran tetap tidak hasil tolong jangan salah konsumen ini aplikasi tidak mutu,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['kamera', 'fungsi', 'upgrade', 'akun', 'syarat', 'daya', 'pake', 'aplikasi', 'ngasih', 'duit', 'susah', 'frustasi', 'laku', 'proses', 'saran', 'hasil', 'tolong', 'salah', 'konsumen', 'aplikasi', 'mutu']","['kamera', 'fungsi', 'upgrade', 'akun', 'syarat', 'daya', 'pake', 'aplikasi', 'ngasih', 'duit', 'susah', 'frustasi', 'laku', 'proses', 'saran', 'hasil', 'tolong', 'salah', 'konsumen', 'aplikasi', 'mutu']"
1803,pusat adu mana saya beli paket viar bayar hasil tapi paket belum masuk udah kali ke beli paket tapi token tidak masuk,Feature Errors,Fitur SPBKLU,"['pusat', 'adu', 'beli', 'paket', 'viar', 'bayar', 'hasil', 'paket', 'masuk', 'udah', 'kali', 'beli', 'paket', 'token', 'masuk']","['pusat', 'adu', 'beli', 'paket', 'viar', 'bayar', 'hasil', 'paket', 'masuk', 'udah', 'kali', 'beli', 'paket', 'token', 'masuk']"
1804,terimakasih sudah balas ulas saya prihal saldo saya potong di rekening dan status bayar voucher di pln mobile gagal atau kadaluarsa sudah saya lapor dan sudah di respon tapi jawab transaksi bayar nya tidak hasil saya minta hubung pihak bank yg jadi antara saya untuk bayar dgn guna virtual bca dari pihak bank sudah pasti bahwa transaksi sudah hasil dan saldo saya sudah potong ada bukti nya saya bisa lampir jika ragu,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['terimakasih', 'balas', 'ulas', 'prihal', 'saldo', 'potong', 'rekening', 'status', 'bayar', 'voucher', 'pln', 'mobile', 'gagal', 'kadaluarsa', 'lapor', 'respon', 'transaksi', 'bayar', 'nya', 'hasil', 'hubung', 'bank', 'bayar', 'virtual', 'bca', 'bank', 'transaksi', 'hasil', 'saldo', 'potong', 'bukti', 'nya', 'lampir', 'ragu']","['terimakasih', 'balas', 'ulas', 'prihal', 'saldo', 'potong', 'rekening', 'status', 'bayar', 'voucher', 'pln', 'mobile', 'gagal', 'kadaluarsa', 'lapor', 'respon', 'transaksi', 'bayar', 'nya', 'hasil', 'hubung', 'bank', 'bayar', 'virtual', 'bca', 'bank', 'transaksi', 'hasil', 'saldo', 'potong', 'bukti', 'nya', 'lampir', 'ragu']"
1805,kenapa aplikasi pln mobaile saya tidak bisa  buat adu kwh meter periksahanya sampai di data provinsitidak bisa lanjut lagimohon di bantud verifikasi juga tidak bisa,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['aplikasi', 'pln', 'mobaile', 'adu', 'kwh', 'meter', 'periksahanya', 'data', 'provinsitidak', 'lagimohon', 'bantud', 'verifikasi']","['aplikasi', 'pln', 'mobaile', 'adu', 'kwh', 'meter', 'periksahanya', 'data', 'provinsitidak', 'lagimohon', 'bantud', 'verifikasi']"
1806,hapus saja menu sambung baru masa kita mau laku sambung baru mau dapat slo dan nidi di suruh untuk hubung pihak instalir telah di hubung pihak instalir kata tidak bisa beri slo dan nidi pikir aplikasi bisa bantu supaya bisa hemat biaya pasang baru pada lebih sulit,Feature Design,Fitur PB/PD,"['hapus', 'menu', 'sambung', 'laku', 'sambung', 'slo', 'nidi', 'suruh', 'hubung', 'instalir', 'hubung', 'instalir', 'slo', 'nidi', 'pikir', 'aplikasi', 'bantu', 'hemat', 'biaya', 'pasang', 'sulit']","['hapus', 'menu', 'sambung', 'laku', 'sambung', 'slo', 'nidi', 'suruh', 'hubung', 'instalir', 'hubung', 'instalir', 'slo', 'nidi', 'pikir', 'aplikasi', 'bantu', 'hemat', 'biaya', 'pasang', 'sulit']"
1807,gagal muat lokasi terussolusi nya gmn nih,Feature Errors,Kesalahan koordinat lokasi,"['gagal', 'muat', 'lokasi', 'terussolusi', 'nya', 'gmn', 'nih']","['gagal', 'muat', 'lokasi', 'terussolusi', 'nya', 'gmn', 'nih']"
1808,iconnect mahal sama kayak hindihome,ICONNET,Others (Umum) ICONNET,"['iconnect', 'mahal', 'kayak', 'hindihome']","['iconnect', 'mahal', 'kayak', 'hindihome']"
1809,payahhsaya brp bulan lalu sudah tukar poin ke vocer undi mobiltp tiba vocer hilang gtu ajapdhal udh bnyk saya tuker,Feature Errors,Fungsi fitur gagal,"['payahhsaya', 'brp', 'tukar', 'poin', 'vocer', 'undi', 'mobiltp', 'vocer', 'hilang', 'gtu', 'ajapdhal', 'bnyk', 'tuker']","['payahhsaya', 'brp', 'tukar', 'poin', 'vocer', 'undi', 'mobiltp', 'vocer', 'hilang', 'gtu', 'ajapdhal', 'bnyk', 'tuker']"
1810,untuk adu meter listrik muncul tulis periksa sangat ribet tidak jelas arah,Feature Design,Fitur Pengaduan,"['adu', 'meter', 'listrik', 'muncul', 'tulis', 'periksa', 'ribet', 'arah']","['adu', 'meter', 'listrik', 'muncul', 'tulis', 'periksa', 'ribet', 'arah']"
1811,sudah  beli token rb tapi poin tidak pernah masuk tidak ada biaya adm tp juga tidak ada poin nya,Feature Errors,Fungsi fitur gagal,"['beli', 'token', 'rb', 'poin', 'masuk', 'biaya', 'adm', 'tp', 'poin', 'nya']","['beli', 'token', 'rb', 'poin', 'masuk', 'biaya', 'adm', 'tp', 'poin', 'nya']"
1812,lapor dari kemarin sore samapai skrg blm tangan utk ticketnya malah sdh diclose,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['lapor', 'kemarin', 'sore', 'samapai', 'skrg', 'blm', 'tangan', 'utk', 'ticketnya', 'diclose']","['lapor', 'kemarin', 'sore', 'samapai', 'skrg', 'blm', 'tangan', 'utk', 'ticketnya', 'diclose']"
1813,votage hingga volt bukan volt,Service O2O,Respon lambat terhadap keluhan pemadaman,"['votage', 'volt', 'volt']","['votage', 'volt', 'volt']"
1814,mohon baik aplikasi saya tiap hari check dgn hidup mcb tapi poin gak pernah nambah selalu saja bilang server dalam baik dll dll,Feature Errors,Fungsi fitur gagal,"['mohon', 'aplikasi', 'check', 'hidup', 'mcb', 'poin', 'gak', 'nambah', 'server', 'dll', 'dll']","['mohon', 'aplikasi', 'check', 'hidup', 'mcb', 'poin', 'gak', 'nambah', 'server', 'dll', 'dll']"
1815,layan buruk aplikasi masih suka error meter error ga bisa masuk token lalu di loss kan aku kira gratis nyata bayar tagih,Umum,Keluhan Probis,"['layan', 'buruk', 'aplikasi', 'suka', 'error', 'meter', 'error', 'ga', 'masuk', 'token', 'loss', 'gratis', 'nyata', 'bayar', 'tagih']","['layan', 'buruk', 'aplikasi', 'suka', 'error', 'meter', 'error', 'ga', 'masuk', 'token', 'loss', 'gratis', 'nyata', 'bayar', 'tagih']"
1816,can not upgrade camera error still can ,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['can', 'not', 'upgrade', 'camera', 'error', 'still', 'can']","['can', 'not', 'upgrade', 'camera', 'error', 'still', 'can']"
1817,sudah hapus dan instal kembali tetap tidak bisa submit menu ganggauan,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['hapus', 'instal', 'submit', 'menu', 'ganggauan']","['hapus', 'instal', 'submit', 'menu', 'ganggauan']"
1818,using latest version camera errornot loaded  can  upgrade account,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['using', 'latest', 'version', 'camera', 'errornot', 'loaded', 'can', 'upgrade', 'account']","['using', 'latest', 'version', 'camera', 'errornot', 'loaded', 'can', 'upgrade', 'account']"
1819,makin kesini layan makin buruk sering padam listrik keluh bukan di evaluasi malah makin sering padam nya,Service O2O,Respon lambat terhadap keluhan pemadaman,"['kesini', 'layan', 'buruk', 'padam', 'listrik', 'keluh', 'evaluasi', 'padam', 'nya']","['kesini', 'layan', 'buruk', 'padam', 'listrik', 'keluh', 'evaluasi', 'padam', 'nya']"
1820,aplikasi sudah saya updatemengapa tidak bisa upgrade profilketerangannya loading terus tp ga bisa terbukatlng baik aplikasi ini biar lebih baik,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['aplikasi', 'updatemengapa', 'upgrade', 'profilketerangannya', 'loading', 'tp', 'ga', 'terbukatlng', 'aplikasi']","['aplikasi', 'updatemengapa', 'upgrade', 'profilketerangannya', 'loading', 'tp', 'ga', 'terbukatlng', 'aplikasi']"
1821,proses refund bulan belum juga dinproses pesan harus bayar dulu baru di survey gak jelas iconnet pln,ICONNET,Registration ICONNET,"['proses', 'refund', 'dinproses', 'pesan', 'bayar', 'survey', 'gak', 'iconnet', 'pln']","['proses', 'refund', 'dinproses', 'pesan', 'bayar', 'survey', 'gak', 'iconnet', 'pln']"
1822,untuk adu sulit masih tetap andal telfon lalu,Feature Design,Fitur Pengaduan,"['adu', 'sulit', 'andal', 'telfon']","['adu', 'sulit', 'andal', 'telfon']"
1823,wifi icconet slalu ngeleg padahal udah mbps belinyaapalagi malem gajelas benerharus report ke cs nya apalagi harus tiap hari gin hadehmana adminnya slowres parah gajelas poko haduh,ICONNET,Service O2O ICONNET,"['wifi', 'icconet', 'slalu', 'ngeleg', 'udah', 'mbps', 'belinyaapalagi', 'malem', 'gajelas', 'benerharus', 'report', 'cs', 'nya', 'gin', 'hadehmana', 'adminnya', 'slowres', 'parah', 'gajelas', 'poko', 'haduh']","['wifi', 'icconet', 'slalu', 'ngeleg', 'udah', 'mbps', 'belinyaapalagi', 'malem', 'gajelas', 'benerharus', 'report', 'cs', 'nya', 'gin', 'hadehmana', 'adminnya', 'slowres', 'parah', 'gajelas', 'poko', 'haduh']"
1824,guna aplikasi pln mobile untuk daftar ubah daya dari januari bayar lunas januari sampai sekarang februari blm realisasi padahal sudah hubung pln dan semua berkas syarat sudah siap semua lokasi seperti layan ini blm bisa sebut mudah,Service O2O,Mengubah daya / pasang baru tanpa realisasi atau pembatalan,"['aplikasi', 'pln', 'mobile', 'daftar', 'ubah', 'daya', 'januari', 'bayar', 'lunas', 'januari', 'februari', 'blm', 'realisasi', 'hubung', 'pln', 'berkas', 'syarat', 'lokasi', 'layan', 'blm', 'mudah']","['aplikasi', 'pln', 'mobile', 'daftar', 'ubah', 'daya', 'januari', 'bayar', 'lunas', 'januari', 'februari', 'blm', 'realisasi', 'hubung', 'pln', 'berkas', 'syarat', 'lokasi', 'layan', 'blm', 'mudah']"
1825,cameranya woyga bisa verifikasi,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['cameranya', 'woyga', 'verifikasi']","['cameranya', 'woyga', 'verifikasi']"
1826,listrik naik terus tapi padam terus telpon jawab nya selalu sama pelihara gardu di tanya gardu yang mana ga bisa jawab udah keliling se camat ga ada yang sedang pelihara lagi mana mungkin pelihara lagi hujan rangin lah padam nya padam sering tapi bayar listrik naik terus ga masuk akal,Service O2O,Respon lambat terhadap keluhan pemadaman,"['listrik', 'padam', 'telpon', 'nya', 'pelihara', 'gardu', 'gardu', 'ga', 'udah', 'keliling', 'camat', 'ga', 'pelihara', 'pelihara', 'hujan', 'rangin', 'padam', 'nya', 'padam', 'bayar', 'listrik', 'ga', 'masuk', 'akal']","['listrik', 'padam', 'telpon', 'nya', 'pelihara', 'gardu', 'gardu', 'ga', 'udah', 'keliling', 'camat', 'ga', 'pelihara', 'pelihara', 'hujan', 'rangin', 'padam', 'nya', 'padam', 'bayar', 'listrik', 'ga', 'masuk', 'akal']"
1827,kenapa kalau buka iconnet ga bisa kalau sedang pakai jaring wifinya kan ribet kalau mau bayar,ICONNET,Feature Error ICONNET,"['buka', 'iconnet', 'ga', 'pakai', 'jaring', 'wifinya', 'ribet', 'bayar']","['buka', 'iconnet', 'ga', 'pakai', 'jaring', 'wifinya', 'ribet', 'bayar']"
1828,buat iconet refund aja bulan hadeh gua harus nunggu berapa bulan lagi biar refudannya selesai di proses gua harus nunggu tahun gitu banyak alesan gua minta suruh pasang wifinya bilang jaring penuh sedang belah rumah gua baru pasang iconet hadeh tolong lah di cepat proses,ICONNET,Service O2O ICONNET,"['iconet', 'refund', 'hadeh', 'gua', 'nunggu', 'refudannya', 'selesai', 'proses', 'gua', 'nunggu', 'gitu', 'alesan', 'gua', 'suruh', 'pasang', 'wifinya', 'jaring', 'penuh', 'belah', 'rumah', 'gua', 'pasang', 'iconet', 'hadeh', 'tolong', 'cepat', 'proses']","['iconet', 'refund', 'hadeh', 'gua', 'nunggu', 'refudannya', 'selesai', 'proses', 'gua', 'nunggu', 'gitu', 'alesan', 'gua', 'suruh', 'pasang', 'wifinya', 'jaring', 'penuh', 'belah', 'rumah', 'gua', 'pasang', 'iconet', 'hadeh', 'tolong', 'cepat', 'proses']"
1829,aseeeeeem emang pln batu ampar kabupaten kubu raya kalimantan barat malam malam butak lampu  matiin benarbenar gak beres tolong la pak derektuk pln genahin mentang mentang kami tinggal  kampung semena  matiin lampu,Service O2O,Respon lambat terhadap keluhan pemadaman,"['aseeeeeem', 'emang', 'pln', 'batu', 'ampar', 'kabupaten', 'kubu', 'raya', 'kalimantan', 'barat', 'malam', 'malam', 'butak', 'lampu', 'matiin', 'benarbenar', 'gak', 'beres', 'tolong', 'la', 'derektuk', 'pln', 'genahin', 'mentang', 'mentang', 'tinggal', 'kampung', 'semena', 'matiin', 'lampu']","['aseeeeeem', 'emang', 'pln', 'batu', 'ampar', 'kabupaten', 'kubu', 'raya', 'kalimantan', 'barat', 'malam', 'malam', 'butak', 'lampu', 'matiin', 'benarbenar', 'gak', 'beres', 'tolong', 'la', 'derektuk', 'pln', 'genahin', 'mentang', 'mentang', 'tinggal', 'kampung', 'semena', 'matiin', 'lampu']"
1830,untuk kepada derektur pimpin kepala pln indonesia pak tolong ini  desa kami pln batu ampar kabupaten kubu raya kalimantan barat  geahin kmren mati dr jam pagi sampai jam tengah tujuh tadi dr jam sore sampai jam dan malam ini  jam mati lagi jangan mentang mentang kami tinggal  desa jadi semena mena seperti ini ingat kalian hidup dr hasil uang bayar dari masyarakat,Service O2O,Respon lambat terhadap keluhan pemadaman,"['derektur', 'pimpin', 'kepala', 'pln', 'indonesia', 'tolong', 'desa', 'pln', 'batu', 'ampar', 'kabupaten', 'kubu', 'raya', 'kalimantan', 'barat', 'geahin', 'kmren', 'mati', 'dr', 'jam', 'pagi', 'jam', 'tujuh', 'dr', 'jam', 'sore', 'jam', 'malam', 'jam', 'mati', 'mentang', 'mentang', 'tinggal', 'desa', 'semena', 'mena', 'hidup', 'dr', 'hasil', 'uang', 'bayar', 'masyarakat']","['derektur', 'pimpin', 'kepala', 'pln', 'indonesia', 'tolong', 'desa', 'pln', 'batu', 'ampar', 'kabupaten', 'kubu', 'raya', 'kalimantan', 'barat', 'geahin', 'kmren', 'mati', 'dr', 'jam', 'pagi', 'jam', 'tujuh', 'dr', 'jam', 'sore', 'jam', 'malam', 'jam', 'mati', 'mentang', 'mentang', 'tinggal', 'desa', 'semena', 'mena', 'hidup', 'dr', 'hasil', 'uang', 'bayar', 'masyarakat']"
1831,eh kenap gak bis bedaftar kalok saya pas masuk kata sandi gak bisa,Registration,Sulit mendaftar/tidak bisa mendaftar,"['kenap', 'gak', 'bis', 'bedaftar', 'kalok', 'pas', 'masuk', 'sandi', 'gak']","['kenap', 'gak', 'bis', 'bedaftar', 'kalok', 'pas', 'masuk', 'sandi', 'gak']"
1832,gak bisa baru data diri nik tulis,Registration,Tidak bisa ubah data diri,"['gak', 'data', 'nik', 'tulis']","['gak', 'data', 'nik', 'tulis']"
1833,aplikasi gak guna lapor ganggu gak pernah datang juga teknisi nya sampai kali kali lapor benar benar gak guna,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['aplikasi', 'gak', 'lapor', 'ganggu', 'gak', 'teknisi', 'nya', 'kali', 'kali', 'lapor', 'gak']","['aplikasi', 'gak', 'lapor', 'ganggu', 'gak', 'teknisi', 'nya', 'kali', 'kali', 'lapor', 'gak']"
1834,daerah saya masih belum tercover iconnet,ICONNET,Registration ICONNET,"['daerah', 'tercover', 'iconnet']","['daerah', 'tercover', 'iconnet']"
1835,kenapa app nya error mau laku adun ketika upload photo dari kamera hp langsung selalu kembali ke menu utama jadi gagal terus adu mohon di baik karena ini penting app ga guna udh email ke developer nya sudah di ikutin panduanya memory udh dikosongin dan jaring jg kuat masih ga ada ubah mending hapus aja app nya ga guna kalau ujungujungannya harus tlp sudah sy clear cache tetapi masih eror seperti itu mohon tindaklanjuti nya,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['app', 'nya', 'error', 'laku', 'adun', 'upload', 'photo', 'kamera', 'hp', 'langsung', 'menu', 'utama', 'gagal', 'adu', 'mohon', 'app', 'ga', 'email', 'developer', 'nya', 'ikutin', 'panduanya', 'memory', 'dikosongin', 'jaring', 'kuat', 'ga', 'ubah', 'mending', 'hapus', 'app', 'nya', 'ga', 'ujungujungannya', 'tlp', 'sy', 'clear', 'cache', 'eror', 'mohon', 'tindaklanjuti', 'nya']","['app', 'nya', 'error', 'laku', 'adun', 'upload', 'photo', 'kamera', 'hp', 'langsung', 'menu', 'utama', 'gagal', 'adu', 'mohon', 'app', 'ga', 'email', 'developer', 'nya', 'ikutin', 'panduanya', 'memory', 'dikosongin', 'jaring', 'kuat', 'ga', 'ubah', 'mending', 'hapus', 'app', 'nya', 'ga', 'ujungujungannya', 'tlp', 'sy', 'clear', 'cache', 'eror', 'mohon', 'tindaklanjuti', 'nya']"
1836,miauu,Umum,Lain-lain,['miauu'],['miauu']
1837,beli token bayar pakai va mandiri dulu gratis sekarang kena charge mulai ga asik nih pln mobile cara beli token kan sdh include tax dllpoor,Feature Design,Tentang promo/stimulus,"['beli', 'token', 'bayar', 'pakai', 'va', 'mandiri', 'gratis', 'kena', 'charge', 'ga', 'asik', 'nih', 'pln', 'mobile', 'beli', 'token', 'include', 'tax', 'dllpoor']","['beli', 'token', 'bayar', 'pakai', 'va', 'mandiri', 'gratis', 'kena', 'charge', 'ga', 'asik', 'nih', 'pln', 'mobile', 'beli', 'token', 'include', 'tax', 'dllpoor']"
1838,uang saya udh bulan blom di kembali,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['uang', 'blom']","['uang', 'blom']"
1839,lemoooooooot,Feature Errors,Gangguan Server,['lemoooooooot'],['lemoooooooot']
1840,bintang karena alam pake aplikasi ini buat beli token listrik saldo rekening sudah potong tapi tokennya tidak masuk sudah lapor tp sampai sekarang belum ada kembali,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['bintang', 'alam', 'pake', 'aplikasi', 'beli', 'token', 'listrik', 'saldo', 'rekening', 'potong', 'tokennya', 'masuk', 'lapor', 'tp']","['bintang', 'alam', 'pake', 'aplikasi', 'beli', 'token', 'listrik', 'saldo', 'rekening', 'potong', 'tokennya', 'masuk', 'lapor', 'tp']"
1841,biaya layan bintang saja,Feature Design,Tentang promo/stimulus,"['biaya', 'layan', 'bintang']","['biaya', 'layan', 'bintang']"
